iter	Passed	Remaining
687	37365	125566
688	37373	125356
689	37383	125154
690	37399	124971
691	37670	125641
692	37691	125476
693	37703	125280
694	37719	125099
695	37763	125010
696	37768	124793
697	37782	124607
698	37795	124416
699	37917	124587
700	37939	124426
701	38094	124701
702	38123	124566
703	38132	124364
704	38146	124179
705	38155	123978
706	38228	123985
707	38238	123788
708	38270	123662
709	38299	123529
710	38318	123362
711	38330	123174
712	38347	123002
713	38418	123003
714	38434	122829
715	39084	124676
716	39108	124524
717	39143	124408
718	39169	124262
719	39194	124114
720	39229	123999
721	39237	123800
722	39249	123610
723	39322	123615
724	39400	123635
725	39423	123483
726	40167	125586
727	40188	125423
728	40211	125268
729	40226	125088
730	40246	124924
731	40333	124968
732	40355	124811
733	40374	124642
734	40385	124453
735	40396	124262
736	40410	124081
737	40425	123906
738	40444	123741
739	40448	123533
740	40464	123358
741	40799	124159
742	40850	124091
743	40878	123954
744	40899	123796
745	40918	123633
746	40939	123476
747	40963	123328
748	40978	123154
749	41005	123017
750	41018	122835
751	41026	122643
752	41047	122486
753	41352	123180
754	41366	123003
755	41370	122797
756	41398	122664
757	41420	122513
758	41449	122381
759	41469	122227
760	41482	122048
761	41506	121904
762	41517	121722
763	41536	121563
764	41556	121409
765	41557	121200
766	41561	120999
767	41570	120814
768	41577	120622
769	41588	120444
770	42198	121998
771	42211	121821
772	42230	121666
773	42239	121478
774	42251	121304
775	42273	121154
776	42285	120978
777	43835	125196
778	43847	125013
779	44249	125941
780	44268	125775
781	44304	125661
782	44348	125568
783	44359	125383
784	44560	125734
785	44578	125568
786	44600	125412
787	44623	125264
788	44638	125089
789	44657	124927
790	44670	124749
791	44698	124613
792	44709	124430
793	44725	124263
794	44749	124116
795	44766	123950
796	44806	123851
797	44829	123703
798	44846	123537
799	44874	123406
800	46231	126919
801	46254	126768
802	46271	126599
803	46278	126402
804	46291	126222
805	46308	126055
806	46397	126084
807	46481	126097
808	46514	125975
809	46552	125862
810	46572	125704
811	46580	125515
812	46591	125334
813	46615	125185
814	46651	125072
815	46984	125751
816	48574	129788
817	48640	129748
818	49179	130965
819	49213	130836
820	49235	130676
821	49271	130552
822	49284	130366
823	49319	130242
824	49356	130121
825	49366	129931
826	51060	134165
827	51079	133991
828	51733	135479
829	51748	135294
830	51765	135112
831	53148	138493
832	53160	138292
833	53775	139660
834	53820	139546
835	53937	139619
836	53944	139405
837	53966	139230
838	53967	139003
839	53987	138824
840	54103	138894
841	54122	138713
842	54142	138535
843	54166	138367
844	54177	138167
845	54212	138031
846	54227	137840
847	54237	137639
848	54242	137428
849	55565	140548
850	55601	140408
851	55623	140233
852	55635	140035
853	55654	139852
854	55679	139687
855	55722	139566
856	55738	139378
857	55752	139185
858	55782	139034
859	55824	138912
860	55834	138711
861	55845	138512
862	55876	138364
863	55893	138182
864	55910	137999
865	55945	137861
866	55964	137684
867	55968	137470
868	55981	137279
869	56008	137124
870	56034	136965
871	56048	136779
872	56084	136646
873	56094	136450
874	56718	137743
875	56729	137550
876	56761	137405
877	56802	137284
878	56826	137119
879	56834	136919
880	56986	137065
881	57100	137117
882	57112	136927
883	57137	136767
884	57928	138438
885	57950	138269
886	57966	138086
887	57995	137934
888	57996	137716
889	58668	139090
890	59911	141809
891	59931	141631
892	59951	141452
893	59971	141275
894	61365	144329
895	61397	144174
896	61574	144360
897	61598	144187
898	61798	144425
899	62246	145241
900	62273	145073
901	62282	144865
902	62429	144977
903	62457	144813
904	64033	148232
905	65714	151884
906	65765	151760
907	65808	151620
908	65839	151452
909	65860	151262
910	65888	151088
911	65909	150896
912	65917	150679
913	65950	150516
914	65995	150383
915	66045	150261
916	66052	150039
917	66082	149873
918	66985	151683
919	67005	151490
920	67025	151298
921	67086	151200
922	67126	151051
923	67156	150883
924	67189	150722
925	67204	150521
926	67215	150309
927	67462	150627
928	67490	150455
929	67615	150499
930	67721	150500
931	67734	150294
932	67758	150113
933	67778	149925
934	67797	149734
935	67813	149537
936	67833	149349
937	67847	149148
938	67912	149060
939	67934	148876
940	67953	148688
941	67974	148505
942	67980	148287
943	68002	148107
944	68025	147929
945	68066	147790
946	68541	148590
947	68568	148420
948	68965	149050
949	68983	148858
950	69002	148670
951	69013	148465
952	69046	148308
953	69066	148123
954	69110	147990
955	69152	147853
956	69161	147646
957	69167	147431
958	69172	147216
959	69209	147070
960	69223	146873
961	69566	147377
962	69609	147242
963	69627	147055
964	69660	146901
965	69677	146712
966	69706	146550
967	69723	146361
968	69899	146508
969	69905	146297
970	69917	146099
971	69933	145910
972	69943	145708
973	70379	146395
974	70399	146214
975	70414	146023
976	70459	145894
977	70508	145776
978	70523	145585
979	70561	145442
980	70588	145278
981	70611	145105
982	70642	144949
983	70676	144800
984	70723	144677
985	70732	144477
986	70750	144296
987	70756	144090
988	70775	143912
989	70798	143742
990	70803	143536
991	70847	143410
992	70885	143270
993	70905	143094
994	70918	142905
995	70961	142778
996	71182	143007
997	71212	142853
998	71222	142658
999	71235	142471
1000	71243	142274
1001	71278	142130
1002	71295	141950
1003	71316	141781
1004	71318	141571
1005	71340	141404
1006	71375	141261
1007	71395	141091
1008	71411	140911
1009	71419	140717
1010	71444	140556
1011	71462	140383
1012	71484	140217
1013	71870	140764
1014	71881	140575
1015	71903	140410
1016	71961	140313
1017	71981	140144
1018	72008	139988
1019	72029	139822
1020	72062	139679
1021	72086	139517
1022	72101	139339
1023	72118	139165
1024	72136	138994
1025	72146	138808
1026	72182	138672
1027	72249	138594
1028	72712	139277
1029	73463	140507
1030	73500	140370
1031	73529	140218
1032	73547	140046
1033	73570	139883
1034	75914	144127
1035	75943	143970
1036	75948	143768
1037	75954	143566
1038	75962	143371
1039	75964	143163
1040	75977	142978
1041	75995	142800
1042	77995	146344
1043	78013	146163
1044	78027	145975
1045	78125	145942
1046	78150	145776
1047	78165	145590
1048	78291	145612
1049	78345	145498
1050	78745	146026
1051	78765	145851
1052	78777	145660
1053	79361	146524
1054	79438	146452
1055	79461	146281
1056	79928	146926
1057	80971	148625
1058	81079	148608
1059	81094	148418
1060	81207	148407
1061	81477	148685
1062	81492	148495
1063	81511	148313
1064	81540	148151
1065	81583	148012
1066	82722	149862
1067	82845	149867
1068	82880	149712
1069	82887	149507
1070	82917	149344
1071	82964	149212
1072	82993	149047
1073	83106	149033
1074	83131	148863
1075	83157	148694
1076	83225	148601
1077	83246	148423
1078	83259	148230
1079	83444	148346
1080	83488	148209
1081	83502	148019
1082	83521	147840
1083	83538	147657
1084	83586	147527
1085	83609	147355
1086	83625	147171
1087	83646	146995
1088	83669	146825
1089	83691	146652
1090	83747	146538
1091	83783	146391
1092	83792	146196
1093	83818	146031
1094	83826	145834
1095	83849	145665
1096	83871	145493
1097	83872	145286
1098	83893	145115
1099	83973	145044
1100	84006	144894
1101	84198	145016
1102	84233	144869
1103	84304	144784
1104	84312	144590
1105	84320	144396
1106	84330	144208
1107	84551	144378
1108	85040	145006
1109	85073	144855
1110	85120	144728
1111	85151	144573
